<SIL>	SIL
SEPTEMBER	S EH P T EH M B ER
SEPTUPLE	S EH P T Y UW P AH L
SEPULCHRE	S EH P AH L K ER
SEQUEL	S IY K W AH L
SEQUENCE	S IY K W AH N S
SEQUENCES	S IY K W AH N S AH Z
SEQUENCES(2)	S IY K W AH N S IH Z
SEQUESTERED	S IH K W EH S T ER D
SEQUINS	S IY K W AH N Z
SEQUINS(2)	S IY K W IH N Z
SERAPHIM	S ER AA F IY M
SERE	S IH R
SERENADING	S EH R AH N EY D IH NG
SERENE	S ER IY N
SERENELY	S ER IY N AH L IY
SERENELY(2)	S ER IY N L IY
SERENITY	S ER EH N AH T IY
SERF	S ER F
SERFS	S ER F S
SERGE	S ER JH
SERGEANT	S AA R JH AH N T
SERGEANTS	S AA R JH AH N T S
SERIAL	S IH R IY AH L
SERIES	S IH R IY Z
SERIOUS	S IH R IY AH S
SERIOUSLY	S IH R IY AH S L IY
SERIOUSNESS	S IH R IY AH S N AH S
SERJEANT	S AH R JH IY AH N T
SERMON	S ER M AH N
SERMONIC	S ER M AH N IH K
SERMONIZED	S ER M AH N AY Z D
SERMONS	S ER M AH N Z
SERO	S EH R OW
SERPENT	S ER P AH N T
SERPENTS	S ER P AH N T S
SERRIED	S EH R AY D
SERVANT	S ER V AH N T
SERVANT'S	S ER V AH N TS
SERVANTS	S ER V AH N T S
SERVE	S ER V
SERVED	S ER V D
SERVER	S ER V ER
SERVES	S ER V Z
SERVICE	S ER V AH S
SERVICE(2)	S ER V IH S
SERVICEABILITY	S ER V AH S AH B IH L AH T EH
SERVICEABLE	S ER V AH S AH B AH L
SERVICES	S ER V AH S AH Z
SERVICES(2)	S ER V IH S IH Z
SERVILE	S ER V AH L
SERVING	S ER V IH NG
SERVITUDE	S ER V AH T UW D
SESSION	S EH SH AH N
SESSIONS	S EH SH AH N Z
SET	S EH T
SETEBOS	S EH T AH B AH Z
SETH	S EH TH
SETS	S EH T S
SETTIN	S EH T IH N
SETTIN'	S EH T AH N
SETTING	S EH T IH NG
SETTINGS	S EH T IH NG Z
SETTLE	S EH T AH L
SETTLED	S EH T AH L D
SETTLEMENT	S EH T AH L M AH N T
SETTLEMENTS	S EH T AH L M AH N T S
SETTLERS	S EH T L ER Z
SETTLERS(2)	S EH T AH L ER Z
SETTLES	S EH T AH L Z
SETTLING	S EH T AH L IH NG
SETTLING(2)	S EH T L IH NG
SEVEIRITY	S IY V EY R AH T IY
SEVEN	S EH V AH N
SEVENFOLD	S EH V AH N F OW L D
SEVENS	S EH V AH N Z
SEVENTEEN	S EH V AH N T IY N
SEVENTEENTH	S EH V AH N T IY N TH
SEVENTH	S EH V AH N TH
SEVENTY	S EH V AH N T IY
SEVER	S EH V ER
SEVERAL	S EH V ER AH L
SEVERALLY	S EH V R AH L IY
SEVERANCE	S EH V ER AH N S
SEVERE	S AH V IH R
SEVERED	S EH V ER D
SEVERELY	S AH V IH R L IY
SEVERER	S EH V IH R ER
SEVEREST	S AH V IH R AH S T
SEVERITIES	S AH V EH R AH T IY Z
SEVERITY	S IH V EH R IH T IY
SEVERN	S EH V ER N
SEVERN'S	S EH V ER N Z
SEW	S OW
SEWARD	S UW ER D
SEWARDS	S UW AH R D Z
SEWED	S OW D
SEWING	S OW IH NG
SEWN	S OW N
SEX	S EH K S
SEXES	S EH K S AH Z
SEXES(2)	S EH K S IH Z
SEXTANTS	S EH K S T AH N T S
SEXTUPLE	S EH K S T Y UW P AH L
SEXUAL	S EH K SH UW AH L
SEXUALITY	S EH K SH UW AE L AH T IY
SEYFFERT	S EY F AH R T
SEYMOUR	S IY M AO R
SEYMOUR'S	S IY M AO R Z
SHA'N'T	SH AE N T
SHABBILY	SH AE B IY L IY
SHABBY	SH AE B IY
SHAC	SH AE K
SHAC'S	SH AE K S
SHACK	SH AE K
SHACKLES	SH AE K AH L Z
SHACKS	SH AE K S
SHADE	SH EY D
SHADED	SH EY D IH D
SHADES	SH EY D Z
SHADING	SH EY D IH NG
SHADOW	SH AE D OW
SHADOWED	SH AE D OW D
SHADOWING	SH AE D OW IH NG
SHADOWS	SH AE D OW Z
SHADOWY	SH AE D OW IY
SHADY	SH EY D IY
SHAFT	SH AE F T
SHAFTESBURY	SH AE F T EH Z Y AH R IY
SHAFTS	SH AE F T S
SHAGGY	SH AE G IY
SHAHN	SH AE N
SHAHRAZAD	SH AE R AH Z AH D
SHAKE	SH EY K
SHAKEDOWN	SH EY K D AW N
SHAKEN	SH EY K AH N
SHAKENLY	SH EY K AH N L IY
SHAKER	SH EY K ER
SHAKES	SH EY K S
SHAKESPEARE	SH EY K S P IY R
SHAKESPEARE'S	SH EY K S P IY R Z
SHAKESPEARIAN	SH AH K EH S IY EH R IY AH N
SHAKIN	SH AE K AH N
SHAKING	SH EY K IH NG
SHAKSPEARE	SH AE K S IY R
SHAKY	SH EY K IY
SHALE	SH EY L
SHALL	SH AE L
SHALLOW	SH AE L OW
SHALLOWNESS	SH AE L OW N AH S
SHALLOWS	SH AE L OW Z
SHALMANESER	SH AE L M EY N Z AH R
SHALMANESER'S	SH AE L M AE N AH S AH R Z
SHALT	SH AE L T
SHAM	SH AE M
SHAMASH	SH AE M AE SH
SHAMBLED	SH AE M B AH L D
SHAMBLES	SH AE M B AH L Z
SHAMBLING	SH AE M B AH L IH NG
SHAME	SH EY M
SHAMED	SH EY M D
SHAMEFACED	SH EY M F EY S T
SHAMEFACEDNESS	SH EY M F EY S AH D N AH S
SHAMEFUL	SH EY M F AH L
SHAMEFULLY	SH EY M F AH L IY
SHAMELESS	SH EY M L AH S
SHAMELESSLY	SH EY M L AH S L IY
SHAMELESSNESS	SH EY M L AH S N AH S
SHAMES	SH EY M Z
SHAMING	SH EY M IH NG
SHAMISEN	SH EY M IY Z AH N
SHAMMING	SH AE M IH NG
SHAMPOO	SH AE M P UW
SHAMPOOED	SH AE M P UW D
SHAMSHI	SH AE M SH IY
SHAN'T	SH AE N T
SHANDY	SH AE N D IY
SHANE	SH EY N
SHANGHAI	SH AE NG HH AY
SHANNA	SH AE N AH
SHANNON	SH AE N AH N
SHANTIES	SH AE N T IY Z
SHAPE	SH EY P
SHAPED	SH EY P T
SHAPELESS	SH EY P L AH S
SHAPELY	SH EY P L IY
SHAPES	SH EY P S
SHARE	SH EH R
SHARED	SH EH R D
SHAREHOLDER	SH EH R HH OW L D ER
SHARERS	SH EH R ER Z
SHARES	SH EH R Z
SHARING	SH EH R IH NG
SHARK	SH AA R K
SHARKS	SH AA R K S
SHARP	SH AA R P
SHARPEN	SH AA R P AH N
SHARPENED	SH AA R P AH N D
SHARPENING	SH AA R P AH N IH NG
SHARPENING(2)	SH AA R P N IH NG
SHARPER	SH AA R P ER
SHARPLY	SH AA R P L IY
SHARPNESS	SH AA R P N AH S
SHARPSHOOTERS	SH AA R P SH UW T ER Z
SHASTA	SH AE S T AH
SHASTA'S	SH AE S T AH Z
SHATTER	SH AE T ER
SHATTERED	SH AE T ER D
SHATTERING	SH AE T ER IH NG
SHAVE	SH EY V
SHAVED	SH EY V D
SHAVEN	SH EY V AH N
SHAVES	SH EY V Z
SHAVING	SH EY V IH NG
SHAW	SH AO
SHAW'S	SH AO Z
SHAWL	SH AO L
SHAWLS	SH AO L Z
SHE	SH IY
SHE'D	SH IY D
SHE'LL	SH IY L
SHE'S	SH IY Z
SHEAR	SH IH R
SHEARS	SH IY R Z
SHEAT	SH IY T
SHEATH	SH IY TH
SHEATHED	SH IY DH D
SHEAVES	SH IY V Z
SHED	SH EH D
SHEDDING	SH EH D IH NG
SHEDS	SH EH D Z
SHEEN	SH IY N
SHEENS	SH IY N Z
SHEEP	SH IY P
SHEEP'S	SH IY P S
SHEEPFOLD	SH IY P F OW L D
SHEEPISH	SH IY P IH SH
SHEEPISHLY	SH IY P IH SH L IY
SHEER	SH IH R
SHEERED	SH IH ER D
SHEET	SH IY T
SHEETS	SH IY T S
SHEFFIELD	SH EH F IY L D
SHEINBERG	SH AY N B ER G
SHELF	SH EH L F
SHELL	SH EH L
SHELLEY	SH EH L IY
SHELLFISH	SH EH L F IH SH
SHELLINESS	SH EH L IY N AH S
SHELLING	SH EH L IH NG
SHELLS	SH EH L Z
SHELTER	SH EH L T ER
SHELTERED	SH EH L T ER D
SHELTERING	SH EH L T ER IH NG
SHELVED	SH EH L V D
SHELVES	SH EH L V Z
SHENTLEMAN	SH EH N T L AH M AH N
SHEPHERD	SH EH P ER D
SHEPHERD'S	SH EH P ER D Z
SHEPHERDED	SH EH P ER D IH D
SHEPHERDESS	SH EH P ER D AH S
SHEPHERDESSES	SH EH P ER D AH S IH Z
SHEPHERDS	SH EH P ER D Z
SHEPTON	SH EH P T AH N
SHERBET	SH ER B AH T
SHERIDAN	SH EH R IH D AH N
SHERIDAN'S	SH EH R IH D AH N Z
SHERIFF	SH EH R AH F
SHERIFF(2)	SH EH R IH F
SHERIFFS	SH EH R AH F S
SHERLEY	SH ER L IY
SHERLOCK	SH ER L AA K
SHERLOCK'S	SH ER L AA K S
SHERRY	SH EH R IY
SHERWIN	SH ER W IH N
SHERWOOD	SH ER W UH D
SHET	SH EH T
SHETLAND	SH EH T L AH N D
SHETLANDS	SH EH T L AH N D Z
SHEVARDINO	SH AH V AA R D AH N OW
SHEW	SH UW
SHEWED	SH UW D
SHEWING	SH UW AH NG
SHIED	SH AY D
SHIELD	SH IY L D
SHIELDED	SH IY L D IH D
SHIELDING	SH IY L D IH NG
SHIELDS	SH IY L D Z
SHIFT	SH IH F T
SHIFTED	SH IH F T AH D
SHIFTED(2)	SH IH F T IH D
SHIFTING	SH IH F T IH NG
SHIFTLESSNESS	SH IH F T L AH S N AH S
SHIFTS	SH IH F T S
SHILALEY	SH AH L EY L IY
SHILLIN	SH IH L IH N
SHILLING	SH IH L IH NG
SHILLINGS	SH IH L IH NG Z
SHIMMER	SH IH M ER
SHIMMERING	SH IH M ER IH NG
SHIMMERS	SH IH M ER Z
SHIN	SH IH N
SHINDY	SH AY N D IY
SHINE	SH AY N
SHINERS	SH AY N ER Z
SHINES	SH AY N Z
SHINEY	SH AY N IY
SHINGLE	SH IH NG G AH L
SHINGLED	SH IH NG G AH L D
SHINGLES	SH IH NG G AH L Z
SHINGLING	SH IH NG G AH L IH NG
SHINING	SH AY N IH NG
SHINNED	SH IH N D
SHINTO	SH IH N T OW
SHINTY	SH IH N T IY
SHINY	SH AY N IY
SHIP	SH IH P
SHIP'S	SH IH P S
SHIPBOARD	SH IH P B AO R D
SHIPLOAD	SH IH P L OW D
SHIPMASTERS	SH IH P M AE S T ER Z
SHIPMATES	SH IH P M EY T S
SHIPMENT	SH IH P M AH N T
SHIPOWNERS	SH IH P OW N ER Z
SHIPPED	SH IH P T
SHIPPING	SH IH P IH NG
SHIPS	SH IH P S
SHIPWRECKED	SH IH P R EH K T
SHIPWRECKS	SH IH P R EH K S
SHIRE	SH AY R
SHIRK	SH ER K
SHIRKED	SH ER K T
SHIRKING	SH ER K IH NG
SHIRLEY	SH ER L IY
SHIRT	SH ER T
SHIRTS	SH ER T S
SHIRTSLEEVES	SH ER T S L IY V Z
SHIVER	SH IH V ER
SHIVERED	SH IH V ER D
SHIVERING	SH IH V ER IH NG
SHIVERY	SH IH V ER IY
SHO	SH OW
SHOAL	SH OW L
SHOCK	SH AA K
SHOCKED	SH AA K T
SHOCKING	SH AA K IH NG
SHOCKINGLY	SH AA K IH NG L IY
SHOCKS	SH AA K S
SHOD	SH AA D
SHODDY	SH AA D IY
SHOE	SH UW
SHOEBLACK	SH UW B L AE K
SHOEING	SH UW IH NG
SHOEMAKER	SH UW M EY K ER
SHOEMAKER'S	SH UW M EY K ER Z
SHOEMAKERS	SH UW M EY K ER Z
SHOES	SH UW Z
SHONE	SH OW N
SHOOK	SH UH K
SHOON	SH UW N
SHOOT	SH UW T
SHOOTING	SH UW T IH NG
SHOOTS	SH UW T S
SHOP	SH AA P
SHOP'S	SH AA P S
SHOPFUL	SH AA P F AH L
SHOPKEEPERS	SH AA P K IY P ER Z
SHOPMAN	SH AA P M AE N
SHOPMEN	SH AA P M EH N
SHOPPY	SH AA P IY
SHOPS	SH AA P S
SHOPTON	SH AA P T AH N
SHOPWOMAN	SH AA P W UH M AH N
SHORE	SH AO R
SHOREDITCH	SH OW R D IH CH
SHORELESS	SH OW R L AH S
SHORES	SH AO R Z
SHOREWARD	SH AO R W ER D
SHORN	SH AO R N
SHORT	SH AO R T
SHORTAGE	SH AO R T AH JH
SHORTAGE(2)	SH AO R T IH JH
SHORTBREADS	SH AO R T B R EH D Z
SHORTCOMINGS	SH AO R T K AH M IH NG Z
SHORTEN	SH AO R T AH N
SHORTENED	SH AO R T AH N D
SHORTENS	SH AO R T AH N Z
SHORTER	SH AO R T ER
SHORTEST	SH AO R T IH S T
SHORTLIVED	SH AO R T L IH V D
SHORTLIVED(2)	SH AO R T L AY V D
SHORTLY	SH AO R T L IY
SHORTNESS	SH AO R T N AH S
SHORTS	SH AO R T S
SHOT	SH AA T
SHOTS	SH AA T S
SHOULD	SH UH D
SHOULD'ST	SH OW L D S T
SHOULDER	SH OW L D ER
SHOULDERED	SH OW L D ER D
SHOULDERS	SH OW L D ER Z
SHOULDN'T	SH UH D AH N T
SHOULDNA	SH OW L D N AH
SHOULDST	SH OW L D S T
SHOUT	SH AW T
SHOUTED	SH AW T AH D
SHOUTED(2)	SH AW T IH D
SHOUTER	SH AW T ER
SHOUTING	SH AW T IH NG
SHOUTS	SH AW T S
SHOVE	SH AH V
SHOVED	SH AH V D
SHOVEL	SH AH V AH L
SHOVELED	SH AH V AH L D
SHOVELLED	SH AH V AH L D
SHOVELS	SH AH V AH L Z
SHOVING	SH AH V IH NG
SHOW	SH OW
SHOWED	SH OW D
SHOWER	SH AW ER
SHOWERED	SH AW ER D
SHOWERING	SH AW ER IH NG
SHOWERS	SH AW ER Z
SHOWEST	SH OW AH S T
SHOWING	SH OW IH NG
SHOWINGS	SH OW IH NG Z
SHOWMAN	SH OW M AH N
SHOWN	SH OW N
SHOWS	SH OW Z
SHOWY	SH OW IY
SHRANK	SH R AE NG K
SHRAPNEL	SH R AE P N AH L
SHRED	SH R EH D
SHREDS	SH R EH D Z
SHREWD	SH R UW D
SHREWDLY	SH R UW D L IY
SHREWDNESS	SH R UW D N AH S
SHRIEK	SH R IY K
SHRIEKED	SH R IY K T
SHRIEKING	SH R IY K IH NG
SHRIEKS	SH R IY K S
SHRILL	SH R IH L
SHRILLED	SH R IH L D
SHRILLING	SH R IH L IH NG
SHRIMP	SH R IH M P
SHRIMPS	SH R IH M P S
SHRINE	SH R AY N
SHRINES	SH R AY N Z
SHRINK	SH R IH NG K
SHRINKAGE	SH R IH NG K IH JH
SHRINKETH	SH R IH NG K IH TH
SHRINKING	SH R IH NG K IH NG
SHRINKS	SH R IH NG K S
SHRIVELED	SH R IH V AH L D
SHRIVELLED	SH R IH V AH L D
SHRIVELS	SH R IH V AH L Z
SHROUD	SH R AW D
SHROUDED	SH R AW D IH D
SHROUDS	SH R AW D Z
SHROVE	SH R OW V
SHRUB	SH R AH B
SHRUBBERIES	SH R AH B AH R IY Z
SHRUBBERY	SH R AH B ER IY
SHRUBS	SH R AH B Z
SHRUG	SH R AH G
SHRUGGED	SH R AH G D
SHRUGGING	SH R AH G IH NG
SHRUNK	SH R AH NG K
SHRUNKEN	SH R AH NG K AH N
SHUDDER	SH AH D ER
SHUDDERED	SH AH D ER D
SHUDDERING	SH AH D ER IH NG
SHUFFLE	SH AH F AH L
SHUFFLED	SH AH F AH L D
SHUFFLES	SH AH F AH L Z
SHUFFLING	SH AH F L IH NG
SHUFFLING(2)	SH AH F UH L IH NG
SHUK	SH AH K
SHUN	SH AH N
SHUNNED	SH AH N D
SHUNS	SH AH N Z
SHUNTED	SH AH N T IH D
SHUT	SH AH T
SHUTE	SH UW T
SHUTS	SH AH T S
SHUTTERS	SH AH T ER Z
SHUTTING	SH AH T IH NG
SHUTTLE	SH AH T AH L
SHY	SH AY
SHYEST	SH AY AH S T
SHYLY	SH AY L IY
SHYNESS	SH AY N AH S
SIAMESE	S AY AH M IY Z
SIBONEY	S AH B OW N IY
SIBYL	S IH B AH L
SIBYL'S	S IH B AH L Z
SICILIAN	S IH S IH L IY AH N
SICILY	S IH S AH L IY
SICK	S IH K
SICKENED	S IH K AH N D
SICKENING	S IH K AH N IH NG
SICKENING(2)	S IH K N IH NG
SICKENS	S IH K AH N Z
SICKING	S IH K IH NG
SICKLE	S IH K AH L
SICKLES	S IH K AH L Z
SICKLINESS	S IH K L IY N AH S
SICKLY	S IH K L IY
SICKNESS	S IH K N AH S
SIDE	S AY D
SIDEBOARD	S AY D B OW R D
SIDED	S AY D AH D
SIDED(2)	S AY D IH D
SIDELONG	S AY D L AO NG
SIDES	S AY D Z
SIDETRACKED	S AY D T R AE K T
SIDEWALK	S AY D W AO K
SIDEWALKS	S AY D W AO K S
SIDEWAYS	S AY D W EY Z
SIDEWISE	S AY D W AY Z
SIDING	S AY D IH NG
SIDIS	S AY D IY Z
SIDLED	S AY D AH L D
SIDLING	S AY D AH L IH NG
SIDLING(2)	S AY D L IH NG
SIDNEY	S IH D N IY
SIDONIANS	S AH D OW N IY AH N Z
SIEGE	S IY JH
SIEGES	S IY JH IH Z
SIEMENS	S IY M AH N Z
SIERRA	S IY EH R AH
SIEUR	S Y UW R
SIEVE	S IH V
SIEVES	S IH V Z
SIFT	S IH F T
SIFTED	S IH F T IH D
SIFTING	S IH F T IH NG
SIGH	S AY
SIGHED	S AY D
SIGHING	S AY IH NG
SIGHS	S AY Z
SIGHT	S AY T
SIGHTED	S AY T AH D
SIGHTED(2)	S AY T IH D
SIGHTEDNESS	S AY T AH D N AH S
SIGHTERS	S AY T ER Z
SIGHTLESS	S AY T L AH S
SIGHTS	S AY T S
SIGHTSEEING	S AY T S IY IH NG
SIGHTSEERS	S AY T S IY ER Z
SIGHTSEERS(2)	S AY T S IY R Z
SIGILS	S AY JH AH L Z
SIGMA	S IH G M AH
SIGMUND	S IH G M AH N D
SIGN	S AY N
SIGNA	S IH G N AH
SIGNAL	S IH G N AH L
SIGNALING	S IH G N AH L IH NG
SIGNALIZE	S IH G N AH L AY Z
SIGNALIZED	S IH G N AH L AY Z D
SIGNALS	S IH G N AH L Z
SIGNATURE	S IH G N AH CH ER
SIGNATURES	S IH G N AH CH ER Z
SIGNBOARDS	S AY N B OW R D Z
SIGNED	S AY N D
SIGNET	S IH G N IH T
SIGNIFICANCE	S AH G N IH F IH K AH N S
SIGNIFICANCE(2)	S IH G N IH F IH K AH N S
SIGNIFICANCES	S IH G N IH F IH K AH N S IH Z
SIGNIFICANT	S AH G N IH F IH K AH N T
SIGNIFICANT(2)	S IH G N IH F IH K AH N T
SIGNIFICANTLY	S IH G N IH F IH K AH N T L IY
SIGNIFICATION	S IH G N IH F IH K EY SH AH N
SIGNIFIED	S IH G N AH F AY D
SIGNIFIES	S IH G N AH F AY Z
SIGNIFY	S IH G N AH F AY
SIGNIFYING	S IH G N AH F AY IH NG
SIGNING	S AY N IH NG
SIGNOR	S IY N Y AO R
SIGNOR'S	S IY N Y AO R Z
SIGNORA	S IY N Y OW R AH
SIGNORE	S IY N Y AO R EY
SIGNORINI	S IH G N AO R AH N IY
SIGNORINO	S IH G N AO R AH N OW
SIGNORS	S IY N Y AO R Z
SIGNS	S AY N Z
SIGUNA	S IH G Y UW N AH
SILAS	S AY L AH S
SILENCE	S AY L AH N S
SILENCED	S AY L AH N S T
SILENCES	S AY L AH N S IH Z
SILENCING	S AY L AH N S IH NG
SILENT	S AY L AH N T
SILENTLY	S AY L AH N T L IY
SILENUS	S IH L AH N AH S
SILHOUETTE	S IH L AH W EH T
SILK	S IH L K
SILKEN	S IH L K AH N
SILKS	S IH L K S
SILKY	S IH L K IY
SILL	S IH L
SILLIES	S IH L IY Z
SILLIEST	S IH L IY AH S T
SILLY	S IH L IY
SILVER	S IH L V ER
SILVER'S	S IH L V ER Z
SILVERBRIDGE	S IH L V ER B R IH JH
SILVERED	S IH L V ER D
SILVERSMITH'S	S IH L V ER S M IH TH S
SILVERWARE	S IH L V ER W EH R
SILVERY	S IH L V ER IY
SIMANCAS	S AH M AE NG K AH Z
SIMCOE	S IH M K OW
SIMIAN	S IH M IY AH N
SIMIANS	S IH M IY AH N Z
SIMIFONTE	S IH M AH F AH N T
SIMILAR	S IH M AH L ER
SIMILARITY	S IH M AH L EH R AH T IY
SIMILARLY	S IH M AH L ER L IY
SIMILE	S IH M AH L IY
SIMILITUDE	S AH M IH L AH T UW D
SIMILITUDES	S AH M IH L AH T UW D Z
SIMMER	S IH M ER
SIMON	S AY M AH N
SIMON'S	S AY M AH N Z
SIMONIANS	S AH M OW N IY AH N Z
SIMONOV	S IH M AH N AH V
SIMONOV'S	S IH M AH N AH V Z
SIMPER	S IH M P ER
SIMPLE	S IH M P AH L
SIMPLER	S IH M P AH L ER
SIMPLER(2)	S IH M P L ER
SIMPLES	S IH M P AH L Z
SIMPLEST	S IH M P L AH S T
SIMPLETON	S IH M P AH L T AH N
SIMPLETON'S	S IH M P AH L T AH N Z
SIMPLETONS	S IH M P AH L T AH N Z
SIMPLICITY	S IH M P L IH S AH T IY
SIMPLICITY(2)	S IH M P L IH S IH T IY
SIMPLIFY	S IH M P L AH F AY
SIMPLIFYING	S IH M P L AH F AY IH NG
SIMPLY	S IH M P L IY
SIMPSON	S IH M P S AH N
SIMPSON'S	S IH M P S AH N Z
SIMPSONS	S IH M P S AH N Z
SIMULTANEOUS	S AY M AH L T EY N IY AH S
SIMULTANEOUSLY	S AY M AH L T EY N IY AH S L IY
SIN	S IH N
SINBAD	S IH N B AE D
SINCE	S IH N S
SINCERE	S IH N S IH R
SINCERELY	S IH N S IH R L IY
SINCEREST	S IH N S IH ER AH S T
SINCERITY	S IH N S EH R AH T IY
SINECURE	S AY N K Y UH R
SINEWS	S IH N Y UW Z
SINEWY	S IH N Y UW IY
SINFUL	S IH N F AH L
SING	S IH NG
SINGED	S IH N JH D
SINGER	S IH NG ER
SINGER'S	S IH NG ER Z
SINGERS	S IH NG ER Z
SINGHALESE	S IH N AH L IY Z
SINGING	S IH NG IH NG
SINGLE	S IH NG G AH L
SINGLED	S IH NG G AH L D
SINGLETON	S IH NG G AH L T AH N
SINGLETON'S	S IH NG G AH L T AH N Z
SINGLY	S IH NG G L IY
SINGSONG	S IH NG S AO NG
SINGULAR	S IH NG G Y AH L ER
SINGULARLY	S IH NG G Y AH L ER L IY
SINIGAGLIA	S IH N AH G AE G L IY AH
SINISTER	S IH N IH S T ER
SINK	S IH NG K
SINKING	S IH NG K IH NG
SINKINGS	S IH NG K IH NG Z
SINKS	S IH NG K S
SINNED	S IH N D
SINNER	S IH N ER
SINNER'S	S IH N ER Z
SINNERS	S IH N ER Z
SINS	S IH N Z
SINTRY	S IH N T R AY
SINUOUS	S IH N W AH S
SIOUX	S UW
SIP	S IH P
SIPPED	S IH P T
SIPPING	S IH P IH NG
SIPS	S IH P S
SIR	S ER
SIRDARS	S AH R D AH R Z
SIRE	S AY ER
SIREN	S AY R AH N
SIRENS	S AY R AH N Z
SIRR'S	S AH R Z
SIRS	S ER R Z
SIS	S IH S
SISERA	S IY Z IH R AH
SISKIYOU	S IH S IY AY UW
SISSON	S IH S AH N
SISSON'S	S IH S AH N Z
SISSY	S IH S IY
SISTER	S IH S T ER
SISTER'S	S IH S T ER Z
SISTERS	S IH S T ER Z
SIT	S IH T
SITE	S AY T
SITES	S AY T S
SITGREAVES	S IH T G R IY V Z
SITS	S IH T S
SITTEN	S IH T AH N
SITTIN	S IH T IH N
SITTING	S IH T IH NG
SITTINGS	S IH T IH NG Z
SITUATE	S IH CH UW EY T
SITUATED	S IH CH UW EY T IH D
SITUATION	S IH CH UW EY SH AH N
SITUATIONS	S IH CH UW EY SH AH N Z
SIX	S IH K S
SIXES	S IH K S IH Z
SIXPENCE	S IH K S AH N S
SIXPENCES	S IH K S EH N S AH Z
SIXPENNY	S IH K S P EH N IY
SIXTEEN	S IH K S T IY N
SIXTEENTH	S IH K S T IY N TH
SIXTH	S IH K S TH
SIXTY	S IH K S T IY
SIZAR	S AY Z ER
SIZE	S AY Z
SIZED	S AY Z D
SIZES	S AY Z AH Z
SIZES(2)	S AY Z IH Z
SIZII	S IH Z IY
SIZZLING	S IH Z AH L IH NG
SIZZLING(2)	S IH Z L IH NG
SKAGGS	S K AE G Z
SKAGGS'S	S K AE G Z IX Z
SKAGGSY	S K AE G Z IY
SKALDS	S K AE L D Z
SKATE	S K EY T
SKATED	S K EY T IH D
SKATES	S K EY T S
SKATING	S K EY T IH NG
SKEERED	S K IH R D
SKEIN	S K EY N
SKELETON	S K EH L AH T AH N
SKELETONS	S K EH L AH T AH N Z
SKELLENBURG	S K EH L EH N B AH R G
SKELTER	S K EH L T ER
SKELTON	S K EH L T AH N
SKEPTICAL	S K EH P T AH K AH L
SKEPTICAL(2)	S K EH P T IH K AH L
SKEPTICISM	S K EH P T IH S IH Z AH M
SKETCH	S K EH CH
SKETCHED	S K EH CH T
SKETCHES	S K EH CH AH Z
SKETCHES(2)	S K EH CH IH Z
SKETCHING	S K EH CH IH NG
SKI	S K IY
SKIES	S K AY Z
SKIFF	S K IH F
SKILFUL	S K IH L F AH L
SKILFULLY	S K IH L F Y UH L IY
SKILL	S K IH L
SKILL'D	S K IH L D
SKILLED	S K IH L D
SKILLFUL	S K IH L F AH L
SKILLS	S K IH L Z
SKIM	S K IH M
SKIMMED	S K IH M D
SKIMMER	S K IH M ER
SKIMMING	S K IH M IH NG
SKIMMINGS	S K IH M IH NG Z
SKIMPY	S K IH M P IY
SKIN	S K IH N
SKINNE	S K IH N
SKINNED	S K IH N D
SKINNERS	S K IH N ER Z
SKINNES	S K IH N Z
SKINNY	S K IH N IY
SKINS	S K IH N Z
SKIP	S K IH P
SKIPPED	S K IH P T
SKIPPER	S K IH P ER
SKIPPERS	S K IH P ER Z
SKIPPING	S K IH P IH NG
SKIRMISH	S K ER M IH SH
SKIRMISHERS	S K ER M IH SH ER Z
SKIRMISHES	S K ER M IH SH IH Z
SKIRMISHING	S K ER M IH SH IH NG
SKIRT	S K ER T
SKIRTED	S K ER T IH D
SKIRTING	S K ER T IH NG
SKIRTS	S K ER T S
SKITTLES	S K IH T AH L Z
SKULKED	S K AH L K T
SKULL	S K AH L
SKULLS	S K AH L S
SKULLS(2)	S K AH L Z
SKUNK	S K AH NG K
SKY	S K AY
SKYEY	S K AY IY
SKYLARK	S K AY L AA R K
SKYLIGHT	S K AY L AY T
SKYLINE	S K AY L AY N
SKYWARD	S K AY W ER D
SKYWARDS	S K AY W ER D Z
SLAB	S L AE B
SLABS	S L AE B Z
SLACK	S L AE K
SLACKEN	S L AE K AH N
SLACKENED	S L AE K AH N D
SLACKENING	S L AE K AH N IH NG
SLAIN	S L EY N
SLAKED	S L EY K T
SLAM	S L AE M
SLAMMED	S L AE M D
SLAMMING	S L AE M IH NG
SLAND'RING	S L AE N D R AH NG
SLANDER	S L AE N D ER
SLANDER'D	S L AE N D ER D
SLANG	S L AE NG
SLANGY	S L AE NG IY
SLANTED	S L AE N T AH D
SLANTED(2)	S L AE N T IH D
SLANTED(3)	S L AE N AH D
SLANTED(4)	S L AE N IH D
SLANTING	S L AE N T IH NG
SLANTS	S L AE N T S
SLAP	S L AE P
SLAPPED	S L AE P T
SLAPPING	S L AE P IH NG
SLAPS	S L AE P S
SLASH	S L AE SH
SLASHED	S L AE SH T
SLASHING	S L AE SH IH NG
SLAT	S L AE T
SLATE	S L EY T
SLATED	S L EY T IH D
SLATES	S L EY T S
SLATS	S L AE T S
SLAUGHTER	S L AO T ER
SLAUGHTERED	S L AO T ER D
SLAUGHTERER	S L AO T ER ER
