<SIL>	1.0     SIL
<SPN>	1.0     SPN
<UNK>	1.0     UNK
SLACK	1.0	S L AE K
SLACKEN	1.0	S L AE K AH N
SLACKENED	1.0	S L AE K AH N D
SLACKENING	1.0	S L AE K AH N IH NG
SLAIN	1.0	S L EY N
SLAKED	1.0	S L EY K T
SLAM	1.0	S L AE M
SLAMMED	1.0	S L AE M D
SLAMMING	1.0	S L AE M IH NG
SLAND'RING	1.0	S L AE N D R AH NG
SLANDER	1.0	S L AE N D ER
SLANDER'D	1.0	S L AE N D ER D
SLANG	1.0	S L AE NG
SLANGY	1.0	S L AE NG IY
SLANTED	1.0	S L AE N T AH D
SLANTED(2)	1.0	S L AE N T IH D
SLANTED(3)	1.0	S L AE N AH D
SLANTED(4)	1.0	S L AE N IH D
SLANTING	1.0	S L AE N T IH NG
SLANTS	1.0	S L AE N T S
SLAP	1.0	S L AE P
SLAPPED	1.0	S L AE P T
SLAPPING	1.0	S L AE P IH NG
SLAPS	1.0	S L AE P S
SLASH	1.0	S L AE SH
SLASHED	1.0	S L AE SH T
SLASHING	1.0	S L AE SH IH NG
SLAT	1.0	S L AE T
SLATE	1.0	S L EY T
SLATED	1.0	S L EY T IH D
SLATES	1.0	S L EY T S
SLATS	1.0	S L AE T S
SLAUGHTER	1.0	S L AO T ER
SLAUGHTERED	1.0	S L AO T ER D
SLAUGHTERER	1.0	S L AO T ER ER
SLAUGHTERING	1.0	S L AO T ER IH NG
SLAV	1.0	S L AA V
SLAVE	1.0	S L EY V
SLAVE'S	1.0	S L EY V Z
SLAVERY	1.0	S L EY V ER IY
SLAVES	1.0	S L EY V Z
SLAVS	1.0	S L AA V Z
SLAY	1.0	S L EY
SLAYING	1.0	S L EY IH NG
SLED	1.0	S L EH D
SLEDGE	1.0	S L EH JH
SLEDGEHAMMER	1.0	S L EH JH HH AE M ER
SLEDGES	1.0	S L EH JH AH Z
SLEDGING	1.0	S L EH JH AH NG
SLEDS	1.0	S L EH D Z
SLEEK	1.0	S L IY K
SLEEKER	1.0	S L IY K ER
SLEEP	1.0	S L IY P
SLEEPER	1.0	S L IY P ER
SLEEPER'S	1.0	S L IY P ER Z
SLEEPERS	1.0	S L IY P ER Z
SLEEPEST	1.0	S L IY P AH S T
SLEEPING	1.0	S L IY P IH NG
SLEEPLESS	1.0	S L IY P L AH S
SLEEPLESSNESS	1.0	S L IY P L AH S N AH S
SLEEPS	1.0	S L IY P S
SLEEPY	1.0	S L IY P IY
SLEET	1.0	S L IY T
SLEETY	1.0	S L IY T IY
SLEEVE	1.0	S L IY V
SLEEVED	1.0	S L IY V D
SLEEVES	1.0	S L IY V Z
SLEIGH	1.0	S L EY
SLENDER	1.0	S L EH N D ER
SLEPT	1.0	S L EH P T
SLEUTH	1.0	S L UW TH
SLEW	1.0	S L UW
SLICE	1.0	S L AY S
SLICED	1.0	S L AY S T
SLICES	1.0	S L AY S AH Z
SLICES(2)	1.0	S L AY S IH Z
SLICK	1.0	S L IH K
SLID	1.0	S L IH D
SLIDE	1.0	S L AY D
SLIDED	1.0	S L AY D IH D
SLIDES	1.0	S L AY D Z
SLIDING	1.0	S L AY D IH NG
SLIGHT	1.0	S L AY T
SLIGHTED	1.0	S L AY T IH D
SLIGHTEST	1.0	S L AY T AH S T
SLIGHTLY	1.0	S L AY T L IY
SLIGHTNESS	1.0	S L AY T N AH S
SLIGHTS	1.0	S L AY T S
SLIM	1.0	S L IH M
SLIM'S	1.0	S L IH M Z
SLIMY	1.0	S L AY M IY
SLING	1.0	S L IH NG
SLINK	1.0	S L IH NG K
SLIP	1.0	S L IH P
SLIPPED	1.0	S L IH P T
SLIPPER	1.0	S L IH P ER
SLIPPERS	1.0	S L IH P ER Z
SLIPPERY	1.0	S L IH P ER IY
SLIPPERY(2)	1.0	S L IH P R IY
SLIPPING	1.0	S L IH P IH NG
SLIPS	1.0	S L IH P S
SLIT	1.0	S L IH T
SLITS	1.0	S L IH T S
SLIVER	1.0	S L IH V ER
SLIVERS	1.0	S L IH V ER Z
SLOAN	1.0	S L OW N
SLOANE	1.0	S L OW N
SLOANE'S	1.0	S L OW N Z
SLOGGER	1.0	S L AA G AH R
SLOGS	1.0	S L AA G Z
SLOMAN'S	1.0	S L OW M AH N Z
SLOOPS	1.0	S L UW P S
SLOP	1.0	S L AA P
SLOPE	1.0	S L OW P
SLOPED	1.0	S L OW P T
SLOPES	1.0	S L OW P S
SLOPING	1.0	S L OW P IH NG
SLOPPY	1.0	S L AA P IY
SLOTH	1.0	S L OW TH
SLOTHFUL	1.0	S L OW TH F AH L
SLOUCH	1.0	S L AW CH
SLOUCHED	1.0	S L AW CH T
SLOVENLY	1.0	S L AH V AH N L IY
SLOVENS	1.0	S L AH V AH N Z
SLOW	1.0	S L OW
SLOWER	1.0	S L OW ER
SLOWLY	1.0	S L OW L IY
SLOWNESS	1.0	S L OW N AH S
SLUGGARD	1.0	S L AH G AH R D
SLUGGISH	1.0	S L AH G IH SH
SLUGGISHNESS	1.0	S L AH G IH SH N AH S
SLUICE	1.0	S L UW S
SLUM	1.0	S L AH M
SLUMBER	1.0	S L AH M B ER
SLUMBERING	1.0	S L AH M B ER IH NG
SLUMBERS	1.0	S L AH M B ER Z
SLUMS	1.0	S L AH M Z
SLUNG	1.0	S L AH NG
SLUNK	1.0	S L AH NG K
SLUR	1.0	S L ER
SLUSHY	1.0	S L AH SH IY
SLUTTISH	1.0	S L AH T AH SH
SLY	1.0	S L AY
SLYER	1.0	S L IH ER
SLYLY	1.0	S L AY L IY
SLYNESS	1.0	S L AY N AH S
SMACK	1.0	S M AE K
SMACKED	1.0	S M AE K T
SMACKING	1.0	S M AE K IH NG
SMACKS	1.0	S M AE K S
SMALL	1.0	S M AO L
SMALLER	1.0	S M AO L ER
SMALLEST	1.0	S M AO L AH S T
SMALLNESS	1.0	S M AO L N AH S
SMALLNOSE	1.0	S M AO L N OW Z
SMALLNOSE'S	1.0	S M AO L N OW Z IH Z
SMALLPOX	1.0	S M AO L P AA K S
SMART	1.0	S M AA R T
SMARTENED	1.0	S M AA R T AH N D
SMARTER	1.0	S M AA R T ER
SMARTEST	1.0	S M AA R T AH S T
SMARTING	1.0	S M AA R T IH NG
SMARTLY	1.0	S M AA R T L IY
SMASH	1.0	S M AE SH
SMASHED	1.0	S M AE SH T
SMASHERS	1.0	S M AE SH ER Z
SMASHING	1.0	S M AE SH IH NG
SMEARED	1.0	S M IH R D
SMELL	1.0	S M EH L
SMELL'S	1.0	S M EH L Z
SMELLED	1.0	S M EH L D
SMELLIE	1.0	S M EH L IY
SMELLIE'S	1.0	S M EH L IY Z
SMELLING	1.0	S M EH L IH NG
SMELLS	1.0	S M EH L Z
SMELT	1.0	S M EH L T
SMELTERS	1.0	S M EH L T ER Z
SMETON'S	1.0	S M EH T AH N Z
SMILE	1.0	S M AY L
SMILED	1.0	S M AY L D
SMILES	1.0	S M AY L Z
SMILING	1.0	S M AY L IH NG
SMILINGLY	1.0	S M AY L IH NG L IY
SMIRK	1.0	S M ER K
SMIRKING	1.0	S M ER K IH NG
SMIT	1.0	S M IH T
SMITE	1.0	S M AY T
SMITH	1.0	S M IH TH
SMITH'S	1.0	S M IH TH S
SMITHERS	1.0	S M IH DH ER Z
SMITHS	1.0	S M IH TH S
SMITHTOWN	1.0	S M IH TH T AW N
SMITHY	1.0	S M IH TH IY
SMITING	1.0	S M AY T AH NG
SMITTEN	1.0	S M IH T AH N
SMOCK	1.0	S M AA K
SMOKE	1.0	S M OW K
SMOKED	1.0	S M OW K T
SMOKELESS	1.0	S M OW K L AH S
SMOKES	1.0	S M OW K S
SMOKESTACK	1.0	S M OW K S T AE K
SMOKING	1.0	S M OW K IH NG
SMOKY	1.0	S M OW K IY
SMOLDERING	1.0	S M OW L D ER IH NG
SMOLENSK	1.0	S M OW L EH N S K
SMOLLETT	1.0	S M AA L AH T
SMOOTH	1.0	S M UW DH
SMOOTHED	1.0	S M UW DH D
SMOOTHER	1.0	S M UW DH ER
SMOOTHING	1.0	S M UW DH IH NG
SMOOTHLY	1.0	S M UW DH L IY
SMOOTHNESS	1.0	S M UW DH N AH S
SMOTE	1.0	S M OW T
SMOTHERED	1.0	S M AH DH ER D
SMOULDERING	1.0	S M OW L D IY R AH NG
SMOULDERS	1.0	S M OW L D AH R Z
SMUGGLE	1.0	S M AH G AH L
SMUGGLED	1.0	S M AH G AH L D
SMUGGLERS	1.0	S M AH G L ER Z
SMUGGLERS(2)	1.0	S M AH G AH L ER Z
SMUGLY	1.0	S M AH G L IY
SNACK	1.0	S N AE K
SNAGS	1.0	S N AE G Z
SNAIL	1.0	S N EY L
SNAILS	1.0	S N EY L Z
SNAKE	1.0	S N EY K
SNAKELIKE	1.0	S N EY K L AY K
SNAKES	1.0	S N EY K S
SNAKY	1.0	S N EY K IY
SNAP	1.0	S N AE P
SNAPPED	1.0	S N AE P T
SNAPPER	1.0	S N AE P ER
SNAPPING	1.0	S N AE P IH NG
SNAPPISHLY	1.0	S N AE P IH SH L IY
SNAPPY	1.0	S N AE P IY
SNAPS	1.0	S N AE P S
SNAPSHOTS	1.0	S N AE P SH AA T S
SNARE	1.0	S N EH R
SNARES	1.0	S N EH R Z
SNARL	1.0	S N AA R L
SNARLED	1.0	S N AA R AH L D
SNARLING	1.0	S N AA R L IH NG
SNATCH	1.0	S N AE CH
SNATCHED	1.0	S N AE CH T
SNATCHES	1.0	S N AE CH IH Z
SNATCHING	1.0	S N AE CH IH NG
SNEAK	1.0	S N IY K
SNEAKED	1.0	S N IY K T
SNEAKING	1.0	S N IY K IH NG
SNEAKS	1.0	S N IY K S
SNEER	1.0	S N IH R
SNEERED	1.0	S N IH R D
SNEERING	1.0	S N IH R IH NG
SNEERINGLY	1.0	S N IH ER IH NG L IY
SNEEZE	1.0	S N IY Z
SNEEZER	1.0	S N IY Z ER
SNEEZING	1.0	S N IY Z IH NG
SNELL	1.0	S N EH L
SNICKEY	1.0	S N IH K IY
SNICKS	1.0	S N IH K S
SNIFFED	1.0	S N IH F T
SNIFFING	1.0	S N IH F IH NG
SNIFTY	1.0	S N IH F T IY
SNIGGER	1.0	S N IH G ER
SNIPE	1.0	S N AY P
SNIPES	1.0	S N AY P S
SNIPPED	1.0	S N IH P T
SNIVELLING	1.0	S N IH V AH L IH NG
SNOBS	1.0	S N AA B Z
SNOOZING	1.0	S N UW Z IH NG
SNOQUALMIE	1.0	S N AA K W AA L M AY
SNORE	1.0	S N AO R
SNORED	1.0	S N OW R D
SNORING	1.0	S N AO R IH NG
SNORT	1.0	S N AO R T
SNORTED	1.0	S N AO R T IH D
SNORTING	1.0	S N AO R T IH NG
SNOUT	1.0	S N AW T
SNOUTED	1.0	S N AW T IH D
SNOUTS	1.0	S N AW T S
SNOW	1.0	S N OW
SNOWBALL	1.0	S N OW B AO L
SNOWBALLS	1.0	S N OW B AO L Z
SNOWBOUND	1.0	S N OW B AW N D
SNOWDRIFT	1.0	S N OW D R IH F T
SNOWDROPS	1.0	S N OW D R AA P S
SNOWED	1.0	S N OW D
SNOWFALL	1.0	S N OW F AA L
SNOWFIELD	1.0	S N OW F IY L D
SNOWFLAKES	1.0	S N OW F L EY K S
SNOWFORD	1.0	S N OW F OW R D
SNOWIEST	1.0	S N OW IY AH S T
SNOWING	1.0	S N OW IH NG
SNOWS	1.0	S N OW Z
SNOWSHOES	1.0	S N OW SH UW Z
SNOWY	1.0	S N OW IY
SNUB	1.0	S N AH B
SNUBBED	1.0	S N AH B D
SNUBBING	1.0	S N AH B IH NG
SNUFF	1.0	S N AH F
SNUFFED	1.0	S N AH F T
SNUFFLED	1.0	S N AH F L EH D
SNUFFY	1.0	S N AH F IY
SNUG	1.0	S N AH G
SNUGGLED	1.0	S N AH G AH L D
SNUGLY	1.0	S N AH G L IY
SO	1.0	S OW
SOAKED	1.0	S OW K T
SOAKING	1.0	S OW K IH NG
SOAKS	1.0	S OW K S
SOAP	1.0	S OW P
SOAPS	1.0	S OW P S
SOAR	1.0	S AO R
SOARED	1.0	S AO R D
SOARING	1.0	S AO R IH NG
SOB	1.0	S AA B
SOBAL	1.0	S AA B AH L
SOBBED	1.0	S AA B D
SOBBING	1.0	S AA B IH NG
SOBER	1.0	S OW B ER
SOBERED	1.0	S OW B ER D
SOBERLY	1.0	S OW B ER L IY
SOBS	1.0	S AA B Z
SOCIABLE	1.0	S OW SH AH B AH L
SOCIABLY	1.0	S OW SH AH B L IY
SOCIAL	1.0	S OW SH AH L
SOCIALISM	1.0	S OW SH AH L IH Z AH M
SOCIALIST	1.0	S OW SH AH L IH S T
SOCIALLY	1.0	S OW SH AH L IY
SOCIETIES	1.0	S AH S AY IH T IY Z
SOCIETY	1.0	S OW S AY IH T IY
SOCKALEXIS	1.0	S AA K AH L EH K S AH S
SOCKET	1.0	S AA K AH T
SOCKETS	1.0	S AA K AH T S
SOCKS	1.0	S AA K S
SODA	1.0	S OW D AH
SODDEN	1.0	S AA D AH N
SODERBALL	1.0	S AA D ER B AO L
SOEVER	1.0	S OW AH V AH R
SOFA	1.0	S OW F AH
SOFAS	1.0	S OW F AH Z
SOFT	1.0	S AA F T
SOFT(2)	1.0	S AO F T
SOFTEN	1.0	S AA F AH N
SOFTEN(2)	1.0	S AO F AH N
SOFTENED	1.0	S AO F AH N D
SOFTENING	1.0	S AO F AH N IH NG
SOFTENING(2)	1.0	S AO F N IH NG
SOFTENS	1.0	S AO F AH N Z
SOFTER	1.0	S AA F T ER
SOFTER(2)	1.0	S AO F T ER
SOFTLY	1.0	S AO F T L IY
SOFTLY(2)	1.0	S AO F L IY
SOFTNESS	1.0	S AO F T N AH S
SOFTNESS(2)	1.0	S AO F N AH S
SOIL	1.0	S OY L
SOILED	1.0	S OY L D
SOJOURN	1.0	S OW JH ER N
SOJOURNED	1.0	S OW JH ER N D
SOL	1.0	S AA L
SOL(2)	1.0	S OW L
SOLA	1.0	S OW L AH
SOLACE	1.0	S AA L AH S
SOLACE(2)	1.0	S OW L IH S
SOLACED	1.0	S AA L AH S T
SOLACING	1.0	S AA L AH S IH NG
SOLANDER	1.0	S AH L AE N D AH R
SOLAR	1.0	S OW L ER
SOLD	1.0	S OW L D
SOLDANIER	1.0	S OW L D AE N AY AH R
SOLDER	1.0	S AA D ER
SOLDIER	1.0	S OW L JH ER
SOLDIER'S	1.0	S OW L JH ER Z
SOLDIERLY	1.0	S OW L JH ER L IY
SOLDIERS	1.0	S OW L JH ER Z
SOLDIERY	1.0	S OW L JH AH R IY
SOLE	1.0	S OW L
SOLELY	1.0	S OW AH L IY
SOLEMN	1.0	S AA L AH M
SOLEMNITIES	1.0	S AH L EH M N AH T IY Z
SOLEMNITY	1.0	S AH L EH M N AH T IY
SOLEMNLY	1.0	S AO L AH M L IY
SOLES	1.0	S OW L Z
SOLICIT	1.0	S AH L IH S IH T
SOLICITATION	1.0	S AH L IH S IH T EY SH AH N
SOLICITATIONS	1.0	S AH L IH S IH T EY SH AH N Z
SOLICITED	1.0	S AH L IH S IH T IH D
SOLICITOR	1.0	S AH L IH S AH T ER
SOLICITORS	1.0	S AH L IH S AH T ER Z
SOLICITOUS	1.0	S AH L IH S AH T AH S
SOLICITUDE	1.0	S AH L IH S IH T UW D
SOLID	1.0	S AA L AH D
SOLIDARITY	1.0	S AA L AH D EH R AH T IY
SOLIDIFICATION	1.0	S AA L AH D AH F AH K EY SH AH N
SOLIDIFIED	1.0	S AH L IH D AH F AY D
SOLIDIFIES	1.0	S AH L IH D AH F AY Z
SOLIDIFY	1.0	S AH L IH D AH F AY
SOLIDIFYING	1.0	S AH L IH D AH F AY IH NG
SOLIDITY	1.0	S AH L IH D AH T IY
SOLIDLY	1.0	S AA L AH D L IY
SOLILOQUIZES	1.0	S OW L IH L AH K W AY Z AH Z
SOLILOQUY	1.0	S AH L IH L AH K W IY
SOLITAIRE	1.0	S AA L AH T EH R
SOLITARILY	1.0	S AA L AH T EH R IY L IY
SOLITARY	1.0	S AA L AH T EH R IY
SOLITUDE	1.0	S AA L AH T UW D
SOLITUDES	1.0	S AA L AH T UW D Z
SOLO	1.0	S OW L OW
SOLOMON	1.0	S AA L AH M AH N
SOLOMON'S	1.0	S AA L AH M AH N Z
SOLSTICE	1.0	S AO L S T IH S
SOLUTION	1.0	S AH L UW SH AH N
SOLUTIONS	1.0	S AH L UW SH AH N Z
SOLVE	1.0	S AA L V
SOLVED	1.0	S AA L V D
SOLVENT	1.0	S AA L V AH N T
SOLVING	1.0	S AA L V IH NG
SOLWAY	1.0	S OW L W EY IY
SOMBER	1.0	S AA M B ER
SOMBRE	1.0	S AA M B ER
SOMBRELY	1.0	S AA M B ER L IY
SOME	1.0	S AH M
SOME'N	1.0	S AA M AH N
SOMEBODY	1.0	S AH M B AA D IY
SOMEBODY'S	1.0	S AH M B AA D IY Z
SOMEBODY(2)	1.0	S AH M B AH D IY
SOMEDAY	1.0	S AH M D EY
SOMEHOW	1.0	S AH M HH AW
SOMEONE	1.0	S AH M W AH N
SOMEONE'S	1.0	S AH M W AH N Z
SOMERS	1.0	S AH M ER Z
SOMERSAULT	1.0	S AH M ER S AO L T
SOMERSET	1.0	S AH M ER S EH T
SOMERVILLE	1.0	S AH M ER V IH L
SOMETHIN	1.0	S AA M AH TH AH N
SOMETHING	1.0	S AH M TH IH NG
SOMETHING'S	1.0	S AH M TH IH NG Z
SOMETIME	1.0	S AH M T AY M
SOMETIMES	1.0	S AH M T AY M Z
SOMEWAYS	1.0	S AA M Y UW EY Z
SOMEWHAT	1.0	S AH M W AH T
SOMEWHAT(2)	1.0	S AH M HH W AH T
SOMEWHERE	1.0	S AH M W EH R
SOMME	1.0	S AA M
SOMNAMBULISM	1.0	S AA M N AE M B Y AH L IH Z AH M
SOMNAMBULIST	1.0	S AA M N AE M B Y AH L AH S T
SON	1.0	S AH N
SON'S	1.0	S AH N Z
SONATAS	1.0	S AA N AA T AH Z
SONG	1.0	S AO NG
SONGS	1.0	S AO NG Z
SONNET	1.0	S AA N IH T
SONNETEER	1.0	S AA N AH T IH R
SONNETS	1.0	S AA N IH T S
SONNING	1.0	S AH N IH NG
SONNINO	1.0	S AA N AH N OW
SONNY	1.0	S AH N IY
SONOMA	1.0	S AH N OW M AH
SONOROUS	1.0	S AA N ER AH S
SONS	1.0	S AH N Z
SONSY	1.0	S AH N Z IY
SONYA	1.0	S OW N Y AH
SONYA'S	1.0	S OW N Y AH Z
SOON	1.0	S UW N
SOONER	1.0	S UW N ER
SOONEST	1.0	S UW N AH S T
SOOT	1.0	S UH T
SOOTH	1.0	S UW TH
SOOTHE	1.0	S UW DH
SOOTHED	1.0	S UW DH D
SOOTHES	1.0	S UW DH Z
SOOTHING	1.0	S UW DH IH NG
SOOTHINGLY	1.0	S UW DH IH NG L IY
SOOTHSAYER	1.0	S UW TH S EY ER
SOOTY	1.0	S UW T IY
SOPHIA	1.0	S OW F IY AH
SOPHIST	1.0	S AA F AH S T
SOPHISTICAL	1.0	S AA F IH S T IH K AH L
SOPHISTICATED	1.0	S AH F IH S T AH K EY T IH D
SOPHISTICATED(2)	1.0	S AH F IH S T IH K EY T AH D
SOPHISTRIES	1.0	S AH F IH S T R AY Z
SOPHISTRY	1.0	S AH F IH S T R IY
SOPHISTS	1.0	S AA F AH S T S
SOPHOCLES	1.0	S AA F AH K L IY Z
SOPHOMORE	1.0	S AA F M AO R
SOPHRONIUS	1.0	S AA F R AA N AY AH S
SOPRANO	1.0	S AH P R AA N OW
SOPRANO(2)	1.0	S AH P R AE N OW
SOR	1.0	S AO R
SORCERER	1.0	S AO R S ER ER
SORCERERS	1.0	S AO R S ER ER Z
SORDID	1.0	S AO R D AH D
SORDIDNESS	1.0	S AO R D AH D N AH S
SORE	1.0	S AO R
SORELY	1.0	S AO R L IY
SORENESS	1.0	S OW R N AH S
SORENSON	1.0	S AO R AH N S AH N
SORES	1.0	S AO R Z
SORLEY	1.0	S AO R L IY
SORORITY	1.0	S ER AO R AH T IY
SORRA	1.0	S AO R AH
SORREL	1.0	S AO R AH L
SORRENTO	1.0	S AO R EH N T OW
SORROW	1.0	S AA R OW
SORROW'S	1.0	S AA R OW Z
SORROWFUL	1.0	S AA R OW F AH L
SORROWFULLY	1.0	S AA R OW F AH L IY
SORROWING	1.0	S AA R OW IH NG
SORROWS	1.0	S AA R OW Z
SORRY	1.0	S AA R IY
SORT	1.0	S AO R T
SORTED	1.0	S AO R T IH D
SORTERS	1.0	S AO R T ER Z
SORTIE	1.0	S AO R T IY
SORTING	1.0	S AO R T IH NG
SORTS	1.0	S AO R T S
SOSIUS	1.0	S AA S AY AH S
SOSIUS'S	1.0	S AH S AY AH S AH Z
SOT	1.0	S AO T
SOTTO	1.0	S AA T OW
SOU	1.0	S UW
SOUGHT	1.0	S AO T
SOUGHTEST	1.0	S AO T AH S T
SOUL	1.0	S OW L
SOUL'S	1.0	S OW L Z
SOULDIERS	1.0	S OW L D AY ER Z
SOULED	1.0	S OW L D
SOULFUL	1.0	S OW L F AH L
SOULLESS	1.0	S OW L L AH S
SOULS	1.0	S OW L Z
SOUND	1.0	S AW N D
SOUND'	1.0	S AW N D
SOUNDED	1.0	S AW N D IH D
SOUNDER	1.0	S AW N D ER
SOUNDEST	1.0	S AW N D IH S T
SOUNDING	1.0	S AW N D IH NG
SOUNDINGS	1.0	S AW N D IH NG Z
SOUNDLESS	1.0	S AW N D L AH S
SOUNDLY	1.0	S AW N D L IY
SOUNDS	1.0	S AW N D Z
SOUNDS(2)	1.0	S AW N Z
SOUP	1.0	S UW P
SOUR	1.0	S AW ER
SOUR(2)	1.0	S AW R
SOURCE	1.0	S AO R S
SOURCES	1.0	S AO R S AH Z
SOURED	1.0	S AW ER D
SOUREST	1.0	S AW ER AH S T
SOURLY	1.0	S AW ER L IY
SOUS	1.0	S UW Z
SOUSSIO	1.0	S AW S IY OW
SOUSSIO'S	1.0	S AW S IY AH Z
SOUTH	1.0	S AW TH
SOUTHAMPTON	1.0	S AW TH HH AE M P T AH N
SOUTHARD	1.0	S AW TH ER D
SOUTHEASTERN	1.0	S AW TH IY S T ER N
SOUTHERLY	1.0	S AH DH ER L IY
SOUTHERN	1.0	S AH DH ER N
SOUTHERNER	1.0	S AH DH ER N ER
SOUTHERNERS	1.0	S AH DH ER N ER Z
SOUTHERNMOST	1.0	S AH DH ER N M OW S T
SOUTHPAW	1.0	S AW TH P AO
SOUTHSEAMAN	1.0	S AW TH S IY M AE N
SOUTHWARD	1.0	S AW TH W ER D
SOUTHWARDS	1.0	S AW TH W ER D Z
SOUTHWARK	1.0	S AW TH W AH R K
SOUTHWEST	1.0	S AW TH W EH S T
SOUTHWESTERN	1.0	S AW TH W EH S T ER N
SOUVENIR	1.0	S UW V AH N IH R
SOUVENIRS	1.0	S UW V AH N IH R Z
SOVEREIGN	1.0	S AA V R AH N
SOVEREIGN'S	1.0	S AA V R AH N Z
SOVEREIGNLY	1.0	S AA V R AH N L IY
SOVEREIGNS	1.0	S AA V R AH N Z
SOVEREIGNTIES	1.0	S AA V R AH N T IY Z
SOVEREIGNTY	1.0	S AA V R AH N T IY
SOW	1.0	S AW
SOW(2)	1.0	S OW
SOWED	1.0	S AW D
SOWED(2)	1.0	S OW D
SOWERBY	1.0	S AW ER B AY
SOWERBY'S	1.0	S AW ER B AY Z
SOWERS	1.0	S OW ER Z
SOWING	1.0	S OW IH NG
SOWN	1.0	S OW N
SPACE	1.0	S P EY S
SPACED	1.0	S P EY S T
SPACER	1.0	S P EY S ER
SPACES	1.0	S P EY S AH Z
SPACES(2)	1.0	S P EY S IH Z
SPACIOUS	1.0	S P EY SH AH S
SPACIOUSNESS	1.0	S P EY SH AH S N AH S
SPADE	1.0	S P EY D
SPADES	1.0	S P EY D Z
SPAIN	1.0	S P EY N
SPAKE	1.0	S P EY K
SPALLS	1.0	S P AE L Z
SPAN	1.0	S P AE N
SPANGLED	1.0	S P AE NG G AH L D
SPANGLES	1.0	S P AE NG G AH L Z
SPANIARD	1.0	S P AE N Y ER D
SPANIARDS	1.0	S P AE N Y ER D Z
SPANIEL	1.0	S P AE N Y AH L
SPANISH	1.0	S P AE N IH SH
SPANKING	1.0	S P AE NG K IH NG
SPANNED	1.0	S P AE N D
SPAR	1.0	S P AA R
SPARE	1.0	S P EH R
SPARED	1.0	S P EH R D
SPARGO	1.0	S P AA R G OW
SPARING	1.0	S P EH R IH NG
SPARK	1.0	S P AA R K
SPARKLE	1.0	S P AA R K AH L
SPARKLED	1.0	S P AA R K AH L D
SPARKLES	1.0	S P AA R K AH L Z
SPARKLIN	1.0	S P AA R K L AH N
SPARKLING	1.0	S P AA R K L IH NG
SPARKLING(2)	1.0	S P AA R K AH L IH NG
SPARKS	1.0	S P AA R K S
SPARRIN	1.0	S P AE R AH N
SPARRING	1.0	S P AA R IH NG
SPARROW	1.0	S P EH R OW
SPARS	1.0	S P AA R Z
SPARSELY	1.0	S P AA R S L IY
SPARTAN	1.0	S P AA R T AH N
SPARTANS	1.0	S P AA R T AH N Z
SPAS	1.0	S P AA Z
SPASM	1.0	S P AE Z AH M
SPASMODIC	1.0	S P AE Z M AO D IH K
SPASMODICALLY	1.0	S P AE Z M AO D IH K L IY
SPASMS	1.0	S P AE Z AH M Z
SPAT	1.0	S P AE T
SPATTING	1.0	S P AE T IH NG
SPAWN	1.0	S P AA N
SPAWN(2)	1.0	S P AO N
SPAWNING	1.0	S P AA N IH NG
SPAWNING(2)	1.0	S P AO N IH NG
SPEAK	1.0	S P IY K
SPEAKER	1.0	S P IY K ER
SPEAKER'S	1.0	S P IY K ER Z
SPEAKERS	1.0	S P IY K ER Z
SPEAKIN	1.0	S P IY K IH N
SPEAKING	1.0	S P IY K IH NG
SPEAKS	1.0	S P IY K S
SPEAR	1.0	S P IH R
SPEARING	1.0	S P IH R IH NG
SPEARS	1.0	S P IH R Z
SPEARSMEN	1.0	S P IH ER Z M EH N
SPEC	1.0	S P EH K
SPECIAL	1.0	S P EH SH AH L
SPECIALIST	1.0	S P EH SH AH L IH S T
SPECIALITY	1.0	S P EH SH IY AE L IH T IY
SPECIALLY	1.0	S P EH SH AH L IY
SPECIALLY(2)	1.0	S P EH SH L IY
SPECIALTIES	1.0	S P EH SH AH L T IY Z
SPECIALTY	1.0	S P EH SH AH L T IY
SPECIALTY(2)	1.0	S P EY SH AH L T IY
SPECIE	1.0	S P IY SH IY
SPECIES	1.0	S P IY SH IY Z
SPECIFIC	1.0	S P AH S IH F IH K
SPECIFIC(2)	1.0	S P IH S IH F IH K
SPECIFICALLY	1.0	S P AH S IH F IH K L IY
SPECIFICATION	1.0	S P EH S IH F IH K EY SH AH N
SPECIFICATIONS	1.0	S P EH S AH F AH K EY SH AH N Z
SPECIFIED	1.0	S P EH S AH F AY D
SPECIFY	1.0	S P EH S AH F AY
SPECIFYING	1.0	S P EH S AH F AY IH NG
SPECIMEN	1.0	S P EH S AH M AH N
SPECIMENS	1.0	S P EH S AH M AH N Z
SPECK	1.0	S P EH K
SPECKLE	1.0	S P EH K AH L
SPECKLED	1.0	S P EH K AH L D
SPECKS	1.0	S P EH K S
SPECKSIONEER	1.0	S P EH K S IY AH N IH R
SPECS	1.0	S P EH K S
SPECT	1.0	S P EH K T
SPECTACLE	1.0	S P EH K T AH K AH L
SPECTACLED	1.0	S P EH K T IH K AH L D
SPECTACLES	1.0	S P EH K T AH K AH L Z
SPECTACULAR	1.0	S P EH K T AE K Y AH L ER
SPECTATOR	1.0	S P EH K T EY T ER
SPECTATORS	1.0	S P EH K T EY T ER Z
SPECTATORSHIP	1.0	S P EH K T EY T ER SH IH P
SPECTER	1.0	S P EH K T ER
SPECTERS	1.0	S P EH K T ER Z
SPECTRAL	1.0	S P EH K T R AH L
SPECTRE	1.0	S P EH K T ER
